Person ID,AGE,GENDER,Date Reported Missing,Time Reported Missing,Date Last Seen,Location Last Seen,Longtitude,Latitude,Post URL
,59,male,1/14/2020,12:48 PM,12/14/2019,"Malate, Manila",,,https://www.facebook.com/share/p/1Fp5H7uddW/
,41,Male,01/24/2020,5:12 PM,01/16/2021,"Sampaloc, Manila",,,https://www.facebook.com/share/p/1CwZW3pbpf/
,43,Male,2/9/2020,7:03 PM,,"Tondo, Manila",,,https://www.facebook.com/share/p/1CoiXoTEjb/
,14,Male,2/15/2020,12:19 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/17Umn23xj9/
,16,male,03/23/2020,12:25,03/11/2025,"Paco,. Manila",,,https://www.facebook.com/share/p/1BhMzYvEJN/
,29,Male,11/30/2020,5:16 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/162jFGmwqA/
,16,Female,12/12/2020,2:42 PM,na,"Santa Mesa, Manila",,,https://www.facebook.com/share/p/1Bj942nmT6/
,55,Male,12/26/2020,7:34 PM,12/16/2020,"Tondo, Manila",,,https://www.facebook.com/share/p/1EjVdH5BYz/
,25,Male,2/6/2021,5:31 PM,na,"Ermita, Manila",,,https://www.facebook.com/share/p/17hJLX9nYt/
,54,Male,2/15/2021,2:32 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/p/1Fu2urU9iu/
,40,Male,2/21,9:43 AM,na,"Malate, Manila",,,https://www.facebook.com/share/p/15VT7vG2yY8/
,41,Female,02/23/21,5:00 PM,02/16/21,"Malate (in front of placement agency, Quirino Ave., Malate)",,,https://www.gmanetwork.com/news/serbisyopubliko/missingpersons/777104/missing-persons-haj-muslimen-mantawil-saban-and-bai-monerah-rajamuda-pandalat-saban/story/
,51,Male,02/23/21,5:00 PM,02/16/21,"Malate (in front of placement agency, Quirino Ave., Malate)",,,https://www.gmanetwork.com/news/serbisyopubliko/missingpersons/777104/missing-persons-haj-muslimen-mantawil-saban-and-bai-monerah-rajamuda-pandalat-saban/story/
,31,Male,3/6/2021,9:30 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/1HDXQA1qvD/
,13,male,3/11/2020,1:02 PM,12/15/2019,"Tondo Church, Manila",,,https://www.facebook.com/groups/190060074445181/permalink/2726094260841737/
,34,Male,4/29/2021,2:19 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/1GvCaRHway/
,65,Female,5/17/2021,12:32 PM,na,"Avenida, manila",,,https://www.facebook.com/share/p/1BQFFu1ejN/
,27,Male,5/18/2021,9:13 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/14RZFayikr5/
,65,male,06/03/2021,12:03,06/02/2021,"1545 3rd st. Fabie Subd Paco, Mla. Brgy 808 Zone 88",,,https://www.facebook.com/share/p/1AA3Mx7aqg/
,75,Male,9/21/2021,4:10 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/17fwddGJbF/
,42,Male,9/28/2021,5:54 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/1BCqyq9hW9/
,56,Female,10/06/2021,3:07 PM,10/03/2021,"Santa Ana, Manila",,,https://www.facebook.com/share/p/1Fj5Wk5F8g/
,60,Male,10/08/2021,2:08 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/p/17Z61Yg4sZ/
,16,Female,10/09/2021,7:13 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/17Sp1FCPjo/
