Person ID,AGE,GENDER,Date Reported Missing,Time Reported Missing,Date Last Seen,Location Last Seen,Longtitude,Latitude,Post URL
,41,Male,01/24/2020,5:12 PM,01/16/2021,"Sampaloc, Manila",,,https://www.facebook.com/share/p/1CwZW3pbpf/
,14,Male,2/15/2020,12:19 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/17Umn23xj9/
,29,Male,11/30/2020,5:16 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/162jFGmwqA/
,16,Female,12/12/2020,2:42 PM,na,"Santa Mesa, Manila",,,https://www.facebook.com/share/p/1Bj942nmT6/
,55,Male,12/26/2020,7:34 PM,12/16/2020,"Tondo, Manila",,,https://www.facebook.com/share/p/1EjVdH5BYz/
,25,Male,2/6/2021,5:31 PM,na,"Ermita, Manila",,,https://www.facebook.com/share/p/17hJLX9nYt/
,54,Male,2/15/2021,2:32 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/p/1Fu2urU9iu/
,40,Male,2/21,9:43 AM,na,"Malate, Manila",,,https://www.facebook.com/share/p/15VT7vG2yY8/
,31,Male,3/6/2021,9:30 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/1HDXQA1qvD/
,34,Male,4/29/2021,2:19 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/1GvCaRHway/
,65,Female,5/17/2021,12:32 PM,na,"Avenida, manila",,,https://www.facebook.com/share/p/1BQFFu1ejN/
,27,Male,5/18/2021,9:13 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/14RZFayikr5/
,75,Male,9/21/2021,4:10 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/17fwddGJbF/
,42,Male,9/28/2021,5:54 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/1BCqyq9hW9/
,56,Female,10/06/2021,3:07 PM,10/03/2021,"Santa Ana, Manila",,,https://www.facebook.com/share/p/1Fj5Wk5F8g/
,16,Female,10/09/2021,7:13 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/17Sp1FCPjo/
,82,Male,11/8/21,11:23 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/p/1AHbgqgS9k/
,13,Male,11/8/2021,8:04 PM,na,"Quiapo, Manila",,,https://www.facebook.com/share/p/1HjPeadtXJ/
,20,Female,12/04/2021,7:26 PM,na,"Quiapo, Manila",,,https://www.facebook.com/share/p/17X6qaoEp2/
,16,Male,12/11/2021,5:52 PM,na,"Ermita, Manila",,,https://www.facebook.com/groups/964888686883029/posts/4732989473406246/
,24,Male,12/24/2021,2:43 PM,12/23/2021,Manila,,,https://www.facebook.com/share/p/1KJzHtaYn4/
,22,Female,02/13/2022,8:19 PM,02/09/2022,Tondo Manila,,,https://www.facebook.com/share/p/1AReokkcnK/
,29,Male,07/03/2022,2:55 PM,06/27/2022,2495 araullo st sta ana manila,,,https://www.facebook.com/share/p/1AFEXggeK8/
,42,Male,7/4/2023,na,6/26/2023,"Cavite St., Tondo Manila",,,https://www.facebook.com/share/p/1Mfhy5wfF9/
,42,Male,07/04/2023,9:37 PM,06/26/2023,Tondo Manila,,,https://www.facebook.com/share/p/14THDnkxYRY/
,27,Male,09/26/2023,7:03 PM,09/03/2023,Malate Manila,,,https://www.facebook.com/share/p/1FS2wyC7Dx/
,31,Male,11/23/2023,7:00 AM,11/19/2023,SM Manila,,,https://www.facebook.com/groups/190060074445181/permalink/6812371262213996/
,72,Male,11/28/2023,na,11/24/2023,Sampaloc Manila,,,https://www.facebook.com/share/p/1DQNWqogc7/
,adult,male,01/20/2024,18:29,na,"Andrés, A. Bonifacio Ave, Santa Cruz, Manila, 1014 Metro Manila",,,https://www.facebook.com/share/p/1GAaiNSNN8/
,senior,female,01/22/2024,14:00,na,"fabie estate, Sta ana Manila",,,https://www.facebook.com/share/p/1BpHwZoKav/
,5,female,03/01/2024,5:01,na,Brgy 182 zone 16 Gagalangin Tondo Manila,,,https://www.facebook.com/share/p/17avRaMcCD/
,adult,male,04/29/2024,0:50,na,"1817 España Blvd, Sampaloc, Manila, 1008 Metro Manila",,,https://www.facebook.com/share/p/1HAJu1uar9/
,48,female,05/11/2024,9:14,na,"Intramuros, Manila",,,https://www.facebook.com/share/p/1CyQFKrfky/
,39,male,06/13/2024,14:03,na,New Antipolo tondo manila,,,https://www.facebook.com/share/p/1ATzhZkC93/
,64,male,06/17/2024,1:12,06/16/2024,"Barangay 334, Zone 33, Alvarez St, Santa Cruz, Manila, 1003 Metro Manila",,,https://www.facebook.com/share/p/17Xn3KYERx/
,35,male,06/20/2024,22:25,03/06/2024,"Leon Guinto St., Malate, Manila",,,https://www.facebook.com/share/1BRRNgh2U1/
,70,male,07/05/2024,18:30,03/07/2024,"Tejeron St., Sta. Ana, Manila",,,https://www.facebook.com/share/p/17jtWVYxZB/
,young adult,female,07/23/2024,1:07,na,"1182 Meding St., Malate, manila",,,https://www.facebook.com/share/19jvJCjHK9/
,16,female,08/02/2024,10:46,07/29/2024,"Araullo High School, United Nations Ave, Ermita, Manila, 1000 Metro Manila",,,https://www.facebook.com/share/p/1Bkk63padd/
,16,male,08/10/2024,9:56,05/08/2024,"Brgy. 172, Gagalangin, Tondo, Manila",,,https://www.facebook.com/share/1ExE1Mz86Z/
,77,male,09/01/2024,9:30,,"Old Santa Mesa, Manila",,,https://www.facebook.com/share/p/17ntrz7DkU/
,adult,female,09/02/2024,9:24,08/27/2024,"Bambang LRT Station, Santa Cruz, Manila, Metro Manila",,,https://www.facebook.com/share/p/1Gfu7BphkT/
,54,female,09/15/2024,10:17,08/29/2024,"Brgy. 593, Zone 58, District VI, Sta.Mesa, Manila",,,https://www.facebook.com/share/p/1DTFXVvJZx/
,28,male,10/12/2024,22:24,,"Quirino Ave, San Andres Bukid, Santa Ana, Manila",,,https://www.facebook.com/share/p/1A8ik5TSjE/
,adult,female,11/04/2024,11:22,11/03/2024,"Santa Cruz, Manila, Metro Manila",,,https://www.facebook.com/share/p/1W8ZX81vAU/
,47,female,11/22/2024,13:40,11/01/2025,"Andrés, A. Bonifacio Ave, Santa Cruz, Manila, 1014 Metro Manila",,,https://www.facebook.com/share/p/1C9S1pNovz/
,17,female,11/22/2024,22:30,11/19/2024,NU Nazareth Sampaloc Manila,,,https://www.facebook.com/share/p/1CfuoHWRnb/
,14,female,11/27/2024,14:24,11/26/0202,"1002 Muralla St, Intramuros, Manila, 1002 Metro Manila",,,https://www.facebook.com/share/p/1Bg24S7Wds/
,49,male,12/19/2024,8:38,12/16/2024,"1641 Diamante St., Brgy. 797, Zone 87. Manila",,,https://www.facebook.com/share/p/17UxG62rvh/
,26,female,01/06/2025,,,"Laguna St., Gagalangin, Tondo, Manila",,,https://www.facebook.com/share/p/1BKhBfa82r/
,adult,female,02/04/2025,12:28,01/27/2025,QUIAPO MANILA,,,https://www.facebook.com/share/p/1Ab2vdD3U6/
,9,female,02/11/2025,5:03,10/02/2025,MAHARLIKA ST. TONDO MANILA,,,https://www.facebook.com/share/p/1AFjEbbpi4/
,23,female,03/22/2025,9:35,03/21/2025,"Laguna St., Brgy. 153, Tondo Manila",,,https://www.facebook.com/share/p/1BUttWTFgS/
,17,male,05/01/2025,19:51,,"832 Luzon St., Tondo, Manila",,,https://www.facebook.com/share/p/1GCq8sKiB2/
,5,male,05/01/2025,19:51,,"832 Luzon St., Tondo, Manila",,,https://www.facebook.com/share/p/1GCq8sKiB2/
,20,female,05/03/2025,10:37,04/30/2025,"1335 Vicente Cruz St., Brgy.486, Sampaloc, Manila",,,https://www.facebook.com/share/p/1GN6F2tfeT/
,85,female,5/23/2025,23:26,05/16/2025,"Tondo, Manila heading north to monumento",,,https://www.facebook.com/share/p/1MEWAZztpM/
,13,male,06/08/2025,19:00,,"1823 Pres Quirino Avenua, Pandacan, Manila",,,https://www.facebook.com/share/p/1KjSpvmfwt/
,10,female,6/24/2025,2:00,na,Brgy Damayang Lagi New Manila Quezon City,,,https://www.facebook.com/share/p/1Bhw8A5rLG/
,senior,female,07/08/2025,20:00,na,2350 chromium st. San andres bukid metro manila,,,https://www.facebook.com/share/p/17jWFJxWnT/
,teen,male,07/17/2025,14:51,,"Intramuros, Manila",,,https://www.facebook.com/share/p/16j1sWc55E/
,18,male,07/24/2025,15:09,,"773 Sevilla St., Binondo, Manila",,,https://www.facebook.com/share/p/17qybtzyVy/
,senior,female,07/28/2025,19:32,07/16/2025,"Balut, Tondo, Manila",,,https://www.facebook.com/share/p/17XEKFR5sF/
,26,male,07/31/2025,18:55,07/30/2024,"Tiger Gasoline Station, 1748, 1008 Maceda St, Sampaloc, Manila, Metro Manila",,,https://www.facebook.com/share/p/1RtJy4JA6f/
,13,female,08/02/2025,6:00,07/29/2025,"Fernando Maria Guererro Elementary School, 1804 Pedro Gil Street, Barangay 812, Paco, Manila",,,https://www.facebook.com/share/p/17VqDT8o7M/
,31,male,08/14/2025,18:30,08/08/2025,"Dorotero Street, Oroquieta Road, Santa Cruz, Manila",,,https://www.facebook.com/share/p/1BkKk2JBx2/
,adult,male,08/17/2025,14:02,8/12/2025,"Santa Cruz, Manila, Metro Manila",,,https://www.facebook.com/groups/190060074445181/permalink/24303539799337205/
,72,male,09/10/2025,7:54,,"1208 E. Quiricada St., Sta. Cruz, Manila.",,,https://www.facebook.com/groups/1295139581345256/permalink/1840148356844373/
,14,female,09/16/2025,na,,"Brgy 704 Zone 77, Malate, Manila",,,https://www.facebook.com/share/p/1A1147Qidw/
,26,male,09/27/2025,na,,"Road 15, Fabie Estate, Sta. Ana, Manila",,,https://www.facebook.com/share/p/17fAFPCpev/
,adult older,male,10/09/2025,10:00,,"J. Abad Santos Avenue, Hermosa Street, Tondo, Manila,",,,https://www.facebook.com/share/p/17jJqcUEcG/
,38,male,10/24/2025,7:52,,"258-E Teresa St Brgy. 591, District VI, Zone 58, Sta.Mesa, Manila",,,https://www.facebook.com/share/p/1AtNwcCtbK/
,young teen,male,11/06/2025,na,,"Jones Bridge, Barangay 654, Manila,",,,https://www.facebook.com/share/p/17w6LjD3Gv/
,68,female,11/30/2025,na,,Tuazon  street sampaloc  manila,,,https://www.facebook.com/share/p/19i4czDg3h/
,74,male,12/4/2025,0:30,na,Sampaloc Manila,,,https://www.facebook.com/share/p/1GLeNqhWaL/
,34,Male,16/01/2022,12:13 AM,13/01/2022,Manila Arena,,,https://www.facebook.com/photo.php?fbid=103624072222834&set=a.103624235556151&type=3
,40,Male,16/01/2022,12:13 AM,13/01/2022,Manila Arena,,,https://www.facebook.com/share/1AFLGNAeWJ/
,24,Male,16/01/2022,12:13 AM,13/01/2022,Manila Arena,,,https://www.facebook.com/share/1Bh6rzz2Ki/
,20,Male,16/01/2022,12:13 AM,13/01/2022,Manila Arena,,,https://www.facebook.com/photo.php?fbid=103624085556166&set=a.103624235556151&type=3
,34,Male,16/01/2022,12:13 AM,13/01/2022,Manila Arena,,,https://www.facebook.com/share/174qL4wEEN/
,32,Male,16/01/2022,12:13 AM,13/01/2022,Manila Arena,,,https://www.facebook.com/share/17XCoxv1s3/
,27,Male,23/09/2023,14:11,03/09/2023,Brgy #709 Malate Manila,,,https://www.facebook.com/share/p/1BrcksQkvx/
