Person ID,AGE,GENDER,Date Reported Missing,Time Reported Missing,Date Last Seen,Location Last Seen,Longtitude,Latitude,Post URL
,41,Male,01/24/2020,5:12 PM,01/16/2021,"Sampaloc, Manila",,,https://www.facebook.com/share/p/1CwZW3pbpf/
,14,Male,2/15/2020,12:19 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/17Umn23xj9/
,23,Male,08/11/2020,11:03 PM,na,Pasig City,,,https://www.facebook.com/share/p/1GXZbwDo5X/
,78,Male,9/10/2020,11:01 PM,na,Pasay City,,,https://www.facebook.com/share/17jCD4k7YL/
,21,Male,10/11/2020,7:55 AM,na,Quezon City,,,https://www.facebook.com/share/p/1Bcegb6eYd/
,21,Male,10/16/2020,12:33 AM,10/14/2020,Pasay City,,,https://www.facebook.com/share/p/19sZwWuHfc/
,29,Male,11/30/2020,5:16 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/162jFGmwqA/
,39,Male,11/30/2020,11:32 AM,11/21/2020,Quezon City,,,https://www.facebook.com/share/p/1DNHuGkWBQ/
,26,Female,12/11/2020,2:29 PM,na,Quezon City,,,https://www.facebook.com/share/p/1Co1T8kZuf/
,16,Female,12/12/2020,2:42 PM,na,"Santa Mesa, Manila",,,https://www.facebook.com/share/p/1Bj942nmT6/
,17,Male,12/15/2020,11:03 PM,12/06/2020,Quezon City,,,https://www.facebook.com/share/p/1A4HB3GtDG/
,55,Male,12/26/2020,7:34 PM,12/16/2020,"Tondo, Manila",,,https://www.facebook.com/share/p/1EjVdH5BYz/
,25,Male,2/6/2021,5:31 PM,na,"Ermita, Manila",,,https://www.facebook.com/share/p/17hJLX9nYt/
,54,Male,2/15/2021,2:32 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/p/1Fu2urU9iu/
,40,Male,2/21,9:43 AM,na,"Malate, Manila",,,https://www.facebook.com/share/p/15VT7vG2yY8/
,30,Male,2/22/2021,5:35 AM,2/19/2021,Marikina City,,,https://www.facebook.com/share/p/1ALA5n7Fxr/
,41,Male,3/1/2021,5:14 PM,1/27/2020,Parañaque,,,https://www.facebook.com/share/p/17iHKSVqo9/
,27,Male,3/1/2021,5:14 PM,1/27/2020,Parañaque,,,https://www.facebook.com/share/p/17iHKSVqo9/
,33,Male,3/1/2021,5:14 PM,1/27/2020,Parañaque,,,https://www.facebook.com/share/p/17iHKSVqo9/
,31,Male,3/6/2021,9:30 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/1HDXQA1qvD/
,63,Male,3/12/2021,11:25 AM,na,Caloocan CIty,,,https://www.facebook.com/share/p/18RVgrcaGP/
,34,Male,4/29/2021,2:19 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/1GvCaRHway/
,65,Female,5/17/2021,12:32 PM,na,"Avenida, manila",,,https://www.facebook.com/share/p/1BQFFu1ejN/
,27,Male,5/18/2021,9:13 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/14RZFayikr5/
,27,Male,7/25/2021,3:37 AM,na,Quezon City,,,https://www.facebook.com/share/p/1AFve4HV8r/
,32,Male,8/14/2021,3:53 PM,na,Caloocan CIty,,,https://www.facebook.com/share/p/1Csjd217so/
,25,Female,9/14/2021,11:54 AM,na,Parañaque,,,https://www.facebook.com/share/p/1AVmQsddMn/
,28,Female,9/20/2021,11:27 AM,na,Taguig,,,https://www.facebook.com/share/p/17uJVvjVBP/
,75,Male,9/21/2021,4:10 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/17fwddGJbF/
,42,Male,9/28/2021,5:54 PM,na,"Binondo, Manila",,,https://www.facebook.com/share/p/1BCqyq9hW9/
,55,Male,9/28/2021,2:28 AM,9/25/2021,Caloocan CIty,,,https://www.facebook.com/share/v/1DNzSu8bsA/
,13,Female,9/29/2021,5:53 PM,9/21/2021,Quezon City,,,https://www.facebook.com/share/p/1MwUiACeLX/
,14,Male,10/01/2021,5:46 AM,na,Quezon City,,,https://www.facebook.com/share/p/1BvKz4PK7C/
,56,Female,10/06/2021,3:07 PM,10/03/2021,"Santa Ana, Manila",,,https://www.facebook.com/share/p/1Fj5Wk5F8g/
,16,Female,10/09/2021,7:13 PM,na,"Tondo, Manila",,,https://www.facebook.com/share/p/17Sp1FCPjo/
,17,Male,10/15/2021,9:05 PM,na,Parañaque,,,https://www.facebook.com/share/p/17cGun9VE1/
,82,Male,11/8/21,11:23 PM,na,"Sampaloc, Manila",,,https://www.facebook.com/share/p/1AHbgqgS9k/
,13,Male,11/8/2021,8:04 PM,na,"Quiapo, Manila",,,https://www.facebook.com/share/p/1HjPeadtXJ/
,73,Male,12/3/2021,1:18 AM,na,Pasay City,,,https://www.facebook.com/share/p/17UPG6dKPZ/
,20,Female,12/04/2021,7:26 PM,na,"Quiapo, Manila",,,https://www.facebook.com/share/p/17X6qaoEp2/
,16,Male,12/11/2021,5:52 PM,na,"Ermita, Manila",,,https://www.facebook.com/groups/964888686883029/posts/4732989473406246/
,11,Male,12/13/2021,5:55 PM,na,Quezon City,,,https://www.facebook.com/share/p/17rkSMzHLm/
,24,Male,12/24/2021,2:43 PM,12/23/2021,Manila,,,https://www.facebook.com/share/p/1KJzHtaYn4/
,24,Male,12/24/2021,2:43 PM,12/23/2021,Navotas City,,,https://www.facebook.com/share/p/1HhBEjhbsZ/
,35,Male,01/01/2022,na,08/03/2022,"Binangonan, Antipolo",,,https://www.facebook.com/share/p/1GQx6nWcDF/
,22,Female,02/13/2022,8:19 PM,02/09/2022,Tondo Manila,,,https://www.facebook.com/share/p/1AReokkcnK/
,74,Female,02/14/2022,8:22 AM,3/17/2022,Pasig City,,,https://www.facebook.com/share/p/1ACrPzVhXJ/
,59,Male,02/24/2022,4 :27 PM,02/27/2022,Caloocan City,,,https://www.facebook.com/share/p/1N1Lb3QzE3/
,53,Female,02/25/2022,na,01/14/2022,Pasay Villaruel,,,https://www.facebook.com/share/p/1FjD2jw2Zh/
,74,Male,3/8/2022,8:50 PM,3/4/2022,Pasic City,,,https://www.facebook.com/share/p/16VsNYAhkX/
,65,Male,03/09/2022,7:12 AM,03/02/2022,Navotas,,,https://www.facebook.com/share/p/19tq8YpFPd/
,14,Male,04/08/2022,1:20 AM,04/04/2022,Caloocan City,,,https://www.facebook.com/share/p/1HRTwMwy2K/
,43,Male,04/10/2022,1:05 PM,10/01/2022,na,,,https://www.facebook.com/share/p/1DFggcnh9g/
,53,Male,04/16/2022,3:00 AM,04/10/2022,"Tambo, Paranaque City",`,,https://www.facebook.com/share/p/1AXorixSwM/
,44,Male,05/17/2022,6:17 PM,05/15/2022,Caloocan City,,,https://www.facebook.com/share/p/17bSDkqpyQ/
,28,Male,5/20/2022,9:50 PM,na,Domingo Pasay City,,,https://www.facebook.com/share/p/1A6mdVQcvk/
,37,Male,05/30/2022,10:55 AM,05/15/2022,Caloocan City,,,https://www.facebook.com/share/p/1N1Lb3QzE3/
,16,Female,06/16/2022,5:33 PM,06/12/2022,"Monumento, Caloocan City",,,https://www.facebook.com/share/p/17nvWFftgP/
,42,Male,06/18/2022,2:00 PM,07/08/2022,"Shaw Blvd Tiosejo St., Mandaluyong",,,https://www.facebook.com/share/p/1C61N2Abk1/
,29,Male,07/03/2022,2:55 PM,06/27/2022,2495 araullo st sta ana manila,,,https://www.facebook.com/share/p/1AFEXggeK8/
,74,Male,08/01/2022,9:39 AM,na,"Novaliches, Quezon City",,,https://www.facebook.com/groups/190060074445181/search?q=San%20Juan%20City&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIyXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIyLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjJcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIyLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMi0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMi0xMi0zMVxcXCJ9XCJ9In0%3D
,74,Male,03/27/2023,6:40 PM,na,na,,,https://www.facebook.com/share/p/1CZW6NpWmd/
,28,Female,03/28/2023,1:29 PM,03/04/2023,Pasay Villaruel,,,https://www.facebook.com/share/p/1Da5HH82ht/
,21,Male,05/26/2023,10:14 PM,05/17/2023, Village Square Starbucks across Wilcon in Las Piñas City,,,https://www.facebook.com/share/p/1DhhygETwp/
,12,Male,06/03/2023,6:00 PM,06/03/2023,Kamantigue Pasa,,,https://www.facebook.com/share/p/17SKZVpLsx/
,42,Male,7/4/2023,na,6/26/2023,"Cavite St., Tondo Manila",,,https://www.facebook.com/share/p/1Mfhy5wfF9/
,42,Male,07/04/2023,9:37 PM,06/26/2023,Tondo Manila,,,https://www.facebook.com/share/p/14THDnkxYRY/
,63,Male,07/15/2023,11:24 AM,11/01/2022,Malabon City,,,https://www.facebook.com/share/p/1D9w58fQyD/
,41,Male,07/23/2023,14:10,07/21/2023,Puregold Nangka Marikina,,,https://www.facebook.com/share/p/1AfT942ZV8/
,3,Female,07/24/2023,2:34 AM,07/04/2023,"Linear Tower 2 Makati City. / 81 New port boulevard , Pasay City",,,https://www.facebook.com/share/p/1Cos8ZzyZq/
,26,Female,07/24/2023,2:34 AM,07/04/2023,"Linear Tower 2 Makati City. / 81 New port boulevard , Pasay City",,,https://www.facebook.com/share/p/1Cos8ZzyZq/
,67,Male,08/20/2023,na,08/19/2023,Mac Adams Mayamot Antipolo,,,https://www.facebook.com/share/p/1HCVotd4Nh/
,27,Male,09/26/2023,7:03 PM,09/03/2023,Malate Manila,,,https://www.facebook.com/share/p/1FS2wyC7Dx/
,51,Male,10/28/2023,7:30 PM,10/24/2023,Malabon City,,,https://www.facebook.com/share/p/1FWBADbQ4W/
,31,Male,11/23/2023,7:00 AM,11/19/2023,SM Manila,,,https://www.facebook.com/groups/190060074445181/permalink/6812371262213996/
,72,Male,11/28/2023,na,11/24/2023,Sampaloc Manila,,,https://www.facebook.com/share/p/1DQNWqogc7/
,27,Male,12/04/2023,11:49 AM,12/02/2023,Mariatigue Comp. Alabang Muntinlupa City,,,https://www.facebook.com/share/p/17UsiSoHnV/
,adult,male,01/20/2024,18:29,na,"Andrés, A. Bonifacio Ave, Santa Cruz, Manila, 1014 Metro Manila",,,https://www.facebook.com/share/p/1GAaiNSNN8/
,senior,female,01/22/2024,14:00,na,"fabie estate, Sta ana Manila",,,https://www.facebook.com/share/p/1BpHwZoKav/
,18,female,01/31/2024,9:57,na,"Hinshell House, Barangay 12, Caloocan City, Metro Manila",,,https://www.facebook.com/share/p/1CfUEzBe9A/
,55,male,02/16/2024,21:30,na,"P7A PHG10, Bagong Silang (Barangay 176 Area), Caloocan City, Metro Manila.",,,https://www.facebook.com/share/p/1CoBC8cP7Z/
,72,male,02/22/2024,15:26,na,"356 Banana St., Napico, Manggahan, Pasig City, Metro Manila",,,https://www.facebook.com/share/p/1a9Pe4moNy/
,14,male,02/26/2024,18:40,na,"Block 1 Lot 2 Rose St., Doña Marian Subdivision, Ugong, Valenzuela City, Metro Manila.",,,https://www.facebook.com/share/p/1FB8oJyr9B/
,5,female,03/01/2024,5:01,na,Brgy 182 zone 16 Gagalangin Tondo Manila,,,https://www.facebook.com/share/p/17avRaMcCD/
,25,male,03/01/2024,20:23,01/15/2024,"phase 5, Bagong silang, North Caloocan",,,https://www.facebook.com/share/p/1CtaHanffE/
,77,male,03/30/2024,23:12,03/29/2024,"Southville, Poblacion, Muntinlupa City, Metro Manila.",,,https://www.facebook.com/share/p/1H2AcW9oP5/
,senior,male,04/02/2024,7:02,03/22/2024,"San Bartolome Parish Church, Tanong, Malabon, Metro Manila ",,,https://www.facebook.com/share/p/1Cz6qNjKtK/
,60,male,04/08/2024,22:16,02/28/2024,"Buenas Market/Karangalan Gate 5, Pasig City, Metro Manila",,,https://www.facebook.com/share/p/1FdGpxQkMt/
,adult,male,04/29/2024,0:50,na,"1817 España Blvd, Sampaloc, Manila, 1008 Metro Manila",,,https://www.facebook.com/share/p/1HAJu1uar9/
,48,female,05/11/2024,9:14,na,"Intramuros, Manila",,,https://www.facebook.com/share/p/1CyQFKrfky/
,35,male,05/19/2024,23:32,05/17/2024,"2015b Reciever 6 CAA, Las Piñas City",,,https://www.facebook.com/share/p/1G23ZZWFgo/
,39,male,06/13/2024,14:03,na,New Antipolo tondo manila,,,https://www.facebook.com/share/p/1ATzhZkC93/
,65,female,06/14/2024,22:22,06/14/2024,"Nueve de Pebrero Street, Mandaluyong City, Metro Manila.",,,https://www.facebook.com/share/p/17tpsBShrh/
,64,male,06/17/2024,1:12,06/16/2024,"Barangay 334, Zone 33, Alvarez St, Santa Cruz, Manila, 1003 Metro Manila",,,https://www.facebook.com/share/p/17Xn3KYERx/
,35,male,06/20/2024,22:25,03/06/2024,"Leon Guinto St., Malate, Manila",,,https://www.facebook.com/share/1BRRNgh2U1/
,70,male,07/05/2024,18:30,03/07/2024,"Tejeron St., Sta. Ana, Manila",,,https://www.facebook.com/share/p/17jtWVYxZB/
,35,male,07/06/2024,20:24,07/03/2024,"Theresa Heights, Brgy. San Jose, Rodriguez (Montalban), Rizal 1860",,,https://www.facebook.com/share/p/1PyMAib8an/
,young adult,female,07/23/2024,1:07,na,"1182 Meding St., Malate, manila",,,https://www.facebook.com/share/19jvJCjHK9/
,16,female,08/02/2024,10:46,07/29/2024,"Araullo High School, United Nations Ave, Ermita, Manila, 1000 Metro Manila",,,https://www.facebook.com/share/p/1Bkk63padd/
,16,male,08/10/2024,9:56,05/08/2024,"Brgy. 172, Gagalangin, Tondo, Manila",,,https://www.facebook.com/share/1ExE1Mz86Z/
,77,male,09/01/2024,9:30,,"Old Santa Mesa, Manila",,,https://www.facebook.com/share/p/17ntrz7DkU/
,adult,female,09/02/2024,9:24,08/27/2024,"Bambang LRT Station, Santa Cruz, Manila, Metro Manila",,,https://www.facebook.com/share/p/1Gfu7BphkT/
,54,female,09/15/2024,10:17,08/29/2024,"Brgy. 593, Zone 58, District VI, Sta.Mesa, Manila",,,https://www.facebook.com/share/p/1DTFXVvJZx/
,35,male,10/05/2024,17:20,na,113 Alley 3 General Tinio Barangay 132 Bagong Barrio Caloocan City,,,https://www.facebook.com/share/p/1PpTzoBdEL/
,28,male,10/12/2024,22:24,,"Quirino Ave, San Andres Bukid, Santa Ana, Manila",,,https://www.facebook.com/share/p/1A8ik5TSjE/
,adult,female,11/04/2024,11:22,11/03/2024,"Santa Cruz, Manila, Metro Manila",,,https://www.facebook.com/share/p/1W8ZX81vAU/
,47,female,11/22/2024,13:40,11/01/2025,"Andrés, A. Bonifacio Ave, Santa Cruz, Manila, 1014 Metro Manila",,,https://www.facebook.com/share/p/1C9S1pNovz/
,17,female,11/22/2024,22:30,11/19/2024,NU Nazareth Sampaloc Manila,,,https://www.facebook.com/share/p/1CfuoHWRnb/
,14,female,11/27/2024,14:24,11/26/0202,"1002 Muralla St, Intramuros, Manila, 1002 Metro Manila",,,https://www.facebook.com/share/p/1Bg24S7Wds/
,5,male,12/01/2024,23:01,na,"23 Bonanza Phase, Barangay 1, Fortune, Marikina City, Metro Manila.",,,https://www.facebook.com/share/p/1GbRaps7wQ/
,49,male,12/19/2024,8:38,12/16/2024,"1641 Diamante St., Brgy. 797, Zone 87. Manila",,,https://www.facebook.com/share/p/17UxG62rvh/
,26,female,01/06/2025,n/a,,"Laguna St., Gagalangin, Tondo, Manila",,,https://www.facebook.com/share/p/1BKhBfa82r/
,65,male,1/11/2025,14:07,1/6/2025,"Cauliflower Alley, Bagong Barrio, Caloocan City, Metro Manila.",,,https://www.facebook.com/share/p/1DPLFEo9pf/
,adult,female,02/04/2025,12:28,01/27/2025,QUIAPO MANILA,,,https://www.facebook.com/share/p/1Ab2vdD3U6/
,9,female,02/11/2025,5:03,10/02/2025,MAHARLIKA ST. TONDO MANILA,,,https://www.facebook.com/share/p/1AFjEbbpi4/
,73,Male,2/16/2025,na,10/26/2022,Andrews AVE. Pasay city.,,,https://www.facebook.com/share/p/1EfN3hL9Tt/
,59,male,02/19/2025,21:30,02/17/2025,"684 Purok 4, Sucat, Muntinlupa City, Metro Manila.",,,https://www.facebook.com/share/p/1AVrMhDzvD/
,45,male,02/20/2025,23:18,09/02/2024,"Barangay Kaingin, Malabon City, Metro Manila.",,,https://www.facebook.com/share/p/1NEu3MvB5h/
,30,male,03/07/2025,23:08,na,"P. Herrera St., Barangay Poblacion, Pateros, Metro Manila",,,https://www.facebook.com/share/p/1DrK1fjLn3/
,79,female,03/13/2025,16:07,na,"Virginia Dormitory, Virginia St. Corner M. Dela Cruz Street, Pasay City, Metro Manila.",,,https://www.facebook.com/share/p/1AYtHWkz1w/
,23,female,03/22/2025,9:35,03/21/2025,"Laguna St., Brgy. 153, Tondo Manila",,,https://www.facebook.com/share/p/1BUttWTFgS/
,38,male,03/27/2025,10:48,na,"Mandaluyong City, Metro Manila",,,https://www.facebook.com/share/p/1DREPj1EUu/
,45,female,04/03/2025,10:01,na,"Pasay City, Metro Manila",,,https://www.facebook.com/share/p/1CDURtS8je/
,17,male,05/01/2025,19:51,,"832 Luzon St., Tondo, Manila",,,https://www.facebook.com/share/p/1GCq8sKiB2/
